,,,,,,,Games,Games,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving
Rk,Player,From,To,Draft,Tm,Lg,G,GS,Tgt,Rec,Yds,Y/R,TD,Y/G,Ctch%,Y/Tgt,Rec-Normalized,Yds-Normalized,TD-Normalized,Ctch%-Normalized,Y/Tgt-Normalized
40,Stanley Morgan,1977,1990,1-25,TOT,NFL,196,180,,557,10716,19.24,72,54.7,,,0.18421052631578946,0.285018198896325,0.2774566473988439,0.6798903973335756,0.818610154773771
41,Keyshawn Johnson,1996,2006,1-1,TOT,NFL,167,162,1426,814,10571,12.99,64,63.3,57.1%,7.41,0.39555921052631576,0.2765058119056006,0.23121387283236994,0.06911638827653155,5.580050021708691e-05
42,Harold Jackson,1968,1983,12-323,TOT,NFL,208,187,,579,10372,17.91,76,49.9,,,0.20230263157894737,0.264823294587296,0.30057803468208094,0.7067698296185425,0.7923151245344863
43,Santana Moss,2001,2014,1-16,TOT,NFL,197,135,1268,732,10283,14.05,66,52.2,57.7%,8.11,0.328125,0.2595984501585065,0.24277456647398843,0.0698494637024852,0.00010930782919237564
44,Lance Alworth*,1962,1972,1-8 2-9AFL,TOT,TOT,137,59,,542,10266,18.94,85,74.9,,,0.171875,0.2586004461664905,0.35260115606936415,0.6615635116847345,0.7842125861467997
45,DeSean Jackson,2008,2018,2-49,TOT,NFL,153,146,1057,589,10261,17.42,53,67.1,55.7%,9.71,0.21052631578947367,0.2583069155806035,0.1676300578034682,0.06740587894930639,0.00023161029542160728
46,Andre Rison,1989,2000,1-22,TOT,NFL,186,156,1013,743,10205,13.73,84,54.9,,,0.3371710526315789,0.25501937301866856,0.3468208092485549,0.00024818546449652755,0.00025943697389603564
47,Donald Driver,1999,2012,7-213,GNB,NFL,205,155,1234,743,10137,13.64,61,49.4,60.2%,8.21,0.3371710526315789,0.2510273570506047,0.2138728323699422,0.0729039446439587,0.00011695173333170272
48,Shannon Sharpe*,1990,2003,7-192,TOT,NFL,204,169,1197,815,10060,12.34,62,49.3,,,0.3963815789473684,0.2465069860279441,0.21965317919075145,0.00018392392993507795,0.000131807217207489
49,Eric Moulds,1996,2007,1-24,TOT,NFL,186,157,1317,764,9995,13.08,49,53.7,58.0%,7.59,0.35444078947368424,0.24269108841141246,0.14450867052023122,0.07021600141546201,6.955952766787543e-05
50,Wes Welker,2004,2015,,TOT,NFL,175,102,1275,903,9924,10.99,50,56.7,70.8%,7.78,0.46875,0.23852295409181637,0.15028901734104047,0.0858549438358064,8.40829455325967e-05
51,Drew Hill,1979,1993,12-328,TOT,NFL,211,147,157,634,9831,15.51,60,46.6,,,0.24753289473684212,0.23306328519431724,0.20809248554913296,0.004285905781924126,0.004275834438761967
52,Marques Colston,2006,2015,7-252,NOR,NFL,146,106,1099,711,9759,13.73,72,66.8,64.7%,8.88,0.31085526315789475,0.22883644475754375,0.2774566473988439,0.07840201033861104,0.0001681658910651934
53,Amani Toomer,1996,2008,2-34,NYG,NFL,190,141,1239,668,9497,14.22,54,50.0,53.9%,7.67,0.2754934210526316,0.21345544205706235,0.17341040462427745,0.06520665267144544,7.567465097933701e-05
